Koodi,Liikuntapaikkatyyppi=karttatason nimi suomeksi,Pääryhmä1,alaryhmä,karttataso_se,karttataso_en,karttatason tekninen nimi,
3120,Uima-allas,,,Simbassäng,Swimming pool,lipas_3120_uima_allas,
3130,Kylpylä,,,Badinrättning,Spa,lipas_3130_kylpyla,
3200,Maauimalat ja uimarannat,3000,3200,Utebassänger och badstränder,Open air pools and beaches,lipas_3200_maauimalat_ja_uimarannat,
3210,Maauimala,,,Utebassäng,Open-air pool ,lipas_3210_maauimala,
3220,Uimaranta,,,Badstrand,Supervised beach,lipas_3220_uimaranta,
3230,Uimapaikka,,,Badplats,Unsupervised beach ,lipas_3230_uimapaikka,
3240,Talviuintipaikka,,,Vinterbadplats,Winter swimming area,lipas_3240_talviuintipaikka,
4000,Maastoliikuntapaikat,4000,4000,Anläggningar för terrängidrott,Cross-country sports facilities,lipas_4000_maastoliikuntapaikat,
4100,Laskettelurinteet ja rinnehiihtokeskukset,4000,4100,Slalombackar och alpina skidcentra,Ski slopes and downhill ski resorts,lipas_4100_laskettelurinteet_ja_rinnehiihtokeskukset,
4110,Laskettelun suorituspaikka,,,Slalombacke,Ski slope,lipas_4110_laskettelun_suorituspaikka,
4200,Katetut talviurheilupaikat,4000,4200,Vintersportplatser under tak,Covered winter sports facilities,lipas_4200_katetut_talviurheilupaikat,
4210,Curlingrata,,,Curlingbana,Curling sheet,lipas_4210_curlingrata,
4220,Hiihtotunneli,,,Skidtunnel,Ski tunnel,lipas_4220_hiihtotunneli,
4230,Lumilautatunneli,,,Snowboardtunnel,Snowboarding tunnel,lipas_4230_lumilautatunneli,
4240,Lasketteluhalli,,,Slalomhall,Downhill skiing hall,lipas_4240_lasketteluhalli,
4300,Hyppyrimäet,4000,4300,Hoppbackar,Ski jumping hills,lipas_4300_hyppyrimaet,
4310,Harjoitushyppyrimäki,,,Träningshoppbacke,Ski jumping hill for training,lipas_4310_harjoitushyppyrimaki,
4320,Hyppyrimäki,,,Hoppbacke,Ski jumping hill,lipas_4320_hyppyrimaki,
4400,Liikunta- ja ulkoilureitit,4000,4400,Idrotts- och friluftsleder,Sports and outdoor recreation routes ,lipas_4400_liikunta_ja_ulkoilureitit,
4401,Kuntorata,,,Konditionsbana,Jogging track,lipas_4401_kuntorata,
4402,Latu,,,Skidspår,Ski track,lipas_4402_latu,
4403,Kävelyreitti/ulkoilureitti,,,Promenadled/friluftsled,Walking/outdoor route,lipas_4403_kavelyreitti,
4404,Luontopolku,,,Naturstig,Nature trail,lipas_4404_luontopolku,
4405,Retkeilyreitti,,,Utflyktsled,Hiking route,lipas_4405_retkeilyreitti,
4411,Maastopyöräilyreitti,,,Mountainbikeled,Cross-country biking route,lipas_4411_maastopyorailyreitti,
4412,Pyöräilyreitti,,,Cykelled,Biking route,lipas_4412_pyorailyreitti,
4421,Moottorikelkkareitti,,,Snöskoterled,Official snowmobile route,lipas_4421_moottorikelkkareitti,
4422,Moottorikelkkaura,,,Snöskoterspår,Unofficial snowmobile route,lipas_4422_moottorikelkkaura,
4430,Hevosreitti,,,Hästled,Horse track,lipas_4430_hevosreitti,
4440,Koirahiihtolatu,,,Spår för hundspann,Dog skijoring track,lipas_4440_koirahiihtolatu,
4451,Melontareitti,,,Paddlingsled,Canoe route,lipas_4451_melontareitti,
4452,Vesiretkeilyreitti,,,Utflyktsled i vattendrag,Water route,lipas_4452_vesiretkeilyreitti,
4500,Suunnistusalueet,4000,4500,Orienteringsområden,Orienteering areas,lipas_4500_suunnistusalueet,
4510,Suunnistusalue,,,Orienteringsområde,Orienteering area,lipas_4510_suunnistusalue,
4520,Hiihtosuunnistusalue,,,Skidorienteringsområde,Ski orienteering area,lipas_4520_hiihtosuunnistusalue,
4530,Pyöräsuunnistusalue,,,Cykelorienteringsområde,Mountain bike orienteering area,lipas_4530_pyorasuunnistusalue,
4600,Maastohiihtokeskukset,4000,4600,Längdåkningscentra,Cross-country ski resorts,lipas_4600_maastohiihtokeskukset,
4610,Ampumahiihdon harjoittelualue,,,Träningsområde för skidskytte,Training area for biathlon,lipas_4610_ampumahiihdon_harjoittelualue,
4620,Ampumahiihtokeskus,,,Skidskyttecentrum,Biathlon centre,lipas_4620_ampumahiihtokeskus,
4630,Kilpahiihtokeskus,,,Skidtävlingscentrum,Ski competition centre,lipas_4630_kilpahiihtokeskus,
4640,Hiihtomaa,,,Skidland,Cross-country ski park,lipas_4640_hiihtomaa,
4700,Kiipeilypaikat,4000,4700,Klättringsplatser,Climbing venues,lipas_4700_kiipeilypaikat,
4710,Ulkokiipeilyseinä,,,Utomhusklättervägg,Open-air climbing wall,lipas_4710_ulkokiipeilyseina,
4720,Kiipeilykallio,,,Klätterberg,Climbing rock,lipas_4720_kiipeilykallio,
4800,Ampumaurheilupaikat,4000,4800,Sportskytteplatser,Shooting sports facilities,lipas_4800_ampumaurheilupaikat,
4810,Ampumarata,,,Skjutbana,Open-air shooting range,lipas_4810_ampumarata,
4820,Ampumaurheilukeskus,,,Sportskyttecentrum,Shooting sports centre,lipas_4820_ampumaurheilukeskus,
4830,Jousiammuntarata,,,Bågskyttebana,Archery range,lipas_4830_jousiammuntarata,
4840,Jousiammuntamaastorata,,,Terrängbana för bågskytte.,Field archery course,lipas_4840_jousiammuntamaastorata,
5000,"Veneily, ilmailu ja moottoriurheilu",5000,,"Anläggningar för båtsport, flygsport och motorsport","Boating, aviation and motor sports",lipas_5000_veneily_ilmailu_ja_moottoriurheilu,
5100,Veneurheilupaikat,5000,5100,Platser för båtsport,Boating sports facilities,lipas_5100_veneurheilupaikat,
5110,Soutustadion,,,Roddstadion,Rowing stadium,lipas_5110_soutustadion,
5120,Purjehdusalue,,,Seglingsområde,Sailing area,lipas_5120_purjehdusalue,
5130,Moottoriveneurheilualue,,,Område för motorbåtsport,Motor boat sports area,lipas_5130_moottoriveneurheilualue,
5140,Vesihiihtoalue,,,Område för vattenskidåkning,Water ski area,lipas_5140_vesihiihtoalue,
5150,Koskimelontakeskus,,,Centrum för paddling,Rapid canoeing centre,lipas_5150_koskimelontakeskus,
5160,Soudun ja melonnan sisäharjoittelutila,,,Inomhusträningsutrymme för rodd och paddling,Indoor training facility for rowing and canoeing,lipas_5160_soudun_ja_melonnan_sisaharjoittelutila,
5200,Urheiluilmailualueet,5000,5200,Områden för flygsport,Sport aviation areas,lipas_5200_urheiluilmailualueet,
5210,Urheiluilmailualue,,,Område för flygsport,Sport aviation area,lipas_5210_urheiluilmailualue,
5300,Moottoriurheilualueet,5000,5300,Områden för motorsport,Motor sports areas,lipas_5300_moottoriurheilualueet,
5310,Moottoriurheilukeskus,,,Centrum för motorsport,Motor sports centre,lipas_5310_moottoriurheilukeskus,
5320,Moottoripyöräilyalue,,,Område för motorcykelsport,Motorcycling area,lipas_5320_moottoripyorailyalue,
5330,Moottorirata,,,Motorbana,Formula race track,lipas_5330_moottorirata,
5340,Karting-rata,,,Kartingbana,Kart circuit,lipas_5340_karting_rata,
5350,Kiihdytysrata,,,Accelerationsbana,Dragstrip,lipas_5350_kiihdytysrata,
5360,Jokamies- ja rallicross -rata,,,Allemans- och rallycrossbana,Everyman racing and rallycross track ,lipas_5360_jokamies_ja_rallicrossrata,
5370,Jääspeedway- rata,,,Isracingbana,Ice speedway track,lipas_5370_jaaspeedway_rata,
6000,Eläinurheilualueet,6000,,Anläggningar för djursport,Animal sports areas,lipas_6000_elainurheilualue,
6100,Hevosurheilu,6000,6100,Hästsport,Equestrian sports,lipas_6100_hevosurheilu,
6110,Ratsastuskenttä,,,Ridbana,Equestrian field,lipas_6110_ratsastuskentta,
6120,Ratsastusmaneesi,,,Ridmanege,Riding manège,lipas_6120_ratsastusmaneesi,
6130,Esteratsastuskenttä,,,Bana för banhoppning,Show jumping field,lipas_6130_esteratsastuskentta,
6140,Ravirata,,,Travbana,Horse racing track,lipas_6140_ravirata,
6200,Koiraurheilu,6000,6200,Hundsport,Dog sports,lipas_6200_koiraurheilu,
6210,Koiraurheilualue,,,Område för hundsport,Dog sports area,lipas_6210_koiraurheilualue,
6220,Koiraurheiluhalli,,,Hundsporthall,Dog sports hall,lipas_6220_koiraurheiluhalli,
7000,Huoltorakennukset,7000,7000,Servicebyggnader,Maintenance/service buildings,lipas_7000_huoltorakennukset,
7000,Huoltorakennus,7000,7000,Servicebyggnad,Maintenance building,lipas_7000_huoltorakennus,
