from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5961882;425;29722;122;77;29876;134;120;31089;156;125;31640;54;30572;48;30610;30
5785641;5961882;387;27106;121;77;27271;143;123;31294;162;122;31846;56;30783;50;30821;30
5785642;5961882;388;27185;121;77;27271;145;124;31412;162;124;31964;56;30185;50;28446;30
5785643;5961882;393;27478;130;82;29331;153;129;31705;162;128;32257;56;32741;50;31002;30
5787544;5961882;418;29232;119;75;29337;131;113;30599;145;118;31151;53;30146;48;30184;29
5787545;5961882;419;29302;119;75;29337;131;114;30668;145;119;31220;53;30433;48;30470;29
5787546;5961882;422;29527;119;75;29337;134;117;30894;156;123;31446;56;29211;50;27472;30
5787547;5961882;386;26992;121;77;27271;150;130;31793;162;130;32345;56;29602;50;27863;30
5787548;5961882;382;26766;121;77;27271;148;126;31521;159;126;32073;56;29723;50;27984;30
5787549;5961882;384;26900;121;77;27271;150;130;31813;162;130;32365;56;29966;50;28227;30
5787550;5961882;421;29483;130;82;29331;162;124;42390;167;124;36686;56;32540;50;30801;30
5789447;5961882;378;26465;110;69;26574;92;76;28384;110;79;28384;49;27957;44;27994;26
5789448;5961882;378;26462;110;69;26571;92;76;28404;110;79;28404;49;28322;44;28359;26
5789449;5961882;379;26523;110;70;26707;92;77;28465;110;80;28465;50;28747;45;28785;27
5789450;5961882;421;29469;110;70;26707;134;116;30836;156;122;31387;50;29066;45;29103;27
5789451;5961882;422;29507;119;75;29337;134;117;30874;156;122;31426;53;30393;48;30431;29
5789452;5961882;378;26428;119;75;29337;148;124;28388;153;124;28939;55;29110;49;27371;29
5789453;5961882;378;26464;121;77;27271;148;125;28424;153;124;28976;56;29287;50;27548;30
5789454;5961882;379;26551;121;77;27271;148;126;28511;154;130;32354;56;29551;50;27812;30
5789455;5961882;382;26727;130;82;29364;153;128;28687;159;128;29239;56;29771;50;28033;30
5789456;5961882;419;29322;130;82;29364;156;121;42229;167;121;36525;62;32450;55;30711;36
5791353;5961882;383;26825;108;68;26880;95;81;28744;116;84;28744;49;27547;43;27585;26
5791354;5961882;380;26593;109;69;26417;92;78;28512;116;81;28512;50;28138;45;28176;27
5791355;5961882;373;26116;109;69;26329;86;73;28173;110;76;28173;50;28319;44;28356;27
5791356;5961882;374;26178;109;69;26278;92;78;28521;116;81;28521;51;28944;45;28982;27
5791357;5961882;375;26265;110;70;26707;95;81;28589;116;84;28589;50;29058;45;29095;27
5791358;5961882;376;26316;110;70;26707;146;123;28276;150;122;28828;50;28604;45;26866;27
5791359;5961882;373;26119;110;70;26707;140;120;28079;142;125;28630;55;28928;49;27189;29
5791360;5961882;374;26173;121;77;27271;143;120;28133;145;120;28685;55;29296;49;27557;29
5791361;5961882;379;26526;130;82;29364;148;126;28486;153;125;29038;55;29650;49;27911;29
5791362;5961882;383;26838;130;82;29364;153;130;28798;162;130;29349;56;29958;50;28219;30
5791363;5961882;419;29317;130;82;29364;156;121;42224;167;121;36520;62;32346;55;30607;36
5793258;5961882;389;27211;112;71;27374;102;87;29130;122;90;29130;51;28811;45;28849;28
5793259;5961882;384;26911;112;71;27318;97;82;28830;116;85;28830;50;28651;45;28689;27
5793260;5961882;385;26945;111;70;26904;97;83;28864;116;86;28864;50;28615;45;28653;27
5793261;5961882;371;25989;108;69;26064;92;77;28309;110;80;28309;50;28396;45;28434;27
5793262;5961882;370;25885;108;69;26107;92;77;28307;110;80;28307;51;28821;45;28858;27
5793263;5961882;370;25932;108;69;26107;100;81;27890;116;84;27890;51;29927;45;29964;27
5793264;5961882;369;25863;107;68;25818;140;116;27823;137;122;28375;55;28549;49;26810;29
5793265;5961882;370;25904;107;68;25756;140;117;27864;139;122;28416;55;28881;49;27142;29
5793266;5961882;370;25913;113;71;25801;140;117;27873;139;123;28425;55;29078;49;27339;29
5793267;5961882;381;26687;113;71;25801;150;128;28647;156;128;29199;55;29873;49;28134;29
5793268;5961882;387;27085;130;82;29364;161;143;29056;162;133;29597;56;30099;50;28361;30
5793269;5961882;417;29182;127;81;28884;169;131;42906;167;131;37201;61;28912;55;27173;35
5793270;5961882;414;29002;127;81;28884;164;128;42725;167;129;37021;61;31801;55;30062;35
5795164;5961882;390;27286;112;71;27318;105;88;29205;122;91;29205;51;28935;45;28973;28
5795165;5961882;391;27368;112;71;27318;108;89;29286;122;92;29286;51;30712;45;30749;28
